Age,Gender,Balance,NumOfProducts,Geography,IsActiveMember,Exited
73,1,97259.25,1,France,1,0
33,1,123246.7,1,Germany,0,0
22,1,101060.25,1,Spain,1,0
30,0,0.0,2,France,0,0
49,1,108007.36,1,France,0,0
36,1,0.0,2,Spain,1,0
29,0,133702.89,1,Spain,0,1
31,0,125189.75,2,Germany,1,0
24,1,113034.22,1,Germany,0,1
41,1,109013.23,1,Spain,0,0
39,1,0.0,2,Spain,0,1
24,0,57929.81,2,Germany,0,0
29,1,130114.39,1,France,0,0
27,0,95826.49,2,Germany,0,0
44,0,129608.57,1,Germany,0,1
30,0,169462.09,1,France,0,0
40,0,0.0,2,France,1,0
35,1,133868.21,1,Spain,1,0
30,1,0.0,2,France,1,0
36,0,190479.48,2,Germany,0,0
40,1,101993.12,1,Spain,1,0
55,1,161608.81,1,Germany,0,1
45,1,122311.21,1,Spain,1,0
65,0,0.0,2,France,1,0
45,1,162150.42,2,Germany,0,0
42,0,0.0,2,France,1,0
50,1,0.0,1,France,1,1
32,0,0.0,2,France,0,0
39,1,99010.67,1,France,0,0
37,1,0.0,1,Spain,1,0
30,0,0.0,2,Spain,1,0
34,1,111388.18,2,Germany,0,0
41,1,56214.85,2,France,0,1
36,1,84327.77,2,France,0,0
40,0,0.0,2,France,0,0
32,0,93012.89,1,France,0,0
29,0,61710.44,2,Spain,0,0
35,0,174790.15,1,France,1,0
32,1,0.0,2,Spain,1,0
37,0,107720.64,1,Germany,1,0
57,0,0.0,2,France,1,0
35,0,96423.84,1,France,0,0
30,0,141040.01,1,Spain,1,0
42,0,105420.18,1,France,1,0
50,0,0.0,1,Spain,1,1
38,1,129022.06,2,France,1,1
33,0,176666.62,1,Spain,0,0
37,0,0.0,1,France,1,0
41,1,89763.84,1,Spain,0,1
34,0,134954.53,1,France,1,0
45,0,0.0,1,France,0,1
45,0,106376.85,1,France,1,0
33,0,161814.64,2,Germany,0,0
31,0,0.0,2,France,1,0
41,1,0.0,2,France,0,0
34,1,63095.01,1,France,1,0
26,0,118287.01,2,Germany,0,0
47,0,106854.21,1,Germany,1,1
46,0,49512.55,1,France,0,0
33,1,0.0,2,Spain,0,0
43,0,105799.32,2,France,0,1
54,0,0.0,1,France,1,1
31,1,114722.05,2,France,1,0
30,0,0.0,1,Spain,1,0
42,0,0.0,2,France,1,0
33,0,0.0,1,France,0,1
45,0,99564.22,1,Germany,1,1
37,0,170557.91,2,France,0,0
30,1,0.0,2,France,1,0
39,1,74596.15,3,Germany,1,1
50,0,96888.39,1,Germany,0,1
29,1,130830.22,1,Germany,0,0
72,0,0.0,2,France,1,0
40,0,0.0,2,France,0,0
37,1,0.0,2,France,1,0
20,0,119714.25,2,Germany,1,0
67,1,113978.97,2,France,1,0
42,0,100160.75,1,Germany,0,1
29,1,0.0,1,France,1,0
43,1,116220.5,3,Germany,0,1
46,1,0.0,3,France,0,1
28,0,81173.83,2,France,1,0
38,0,0.0,2,Spain,0,0
39,1,116803.8,1,Germany,0,0
37,0,105961.68,2,France,1,0
67,0,117411.6,1,Germany,1,1
34,0,0.0,2,Spain,0,0
40,1,123497.58,1,France,0,1
26,0,152400.51,2,Germany,0,0
26,1,0.0,2,France,1,0
24,0,103097.85,1,Germany,1,0
54,0,126418.14,1,Germany,0,1
36,1,77846.9,1,Germany,0,0
34,1,0.0,2,Spain,1,0
79,1,0.0,2,France,1,0
37,0,79731.91,1,Germany,1,0
28,0,0.0,1,Spain,0,0
41,0,0.0,2,Spain,1,0
34,0,0.0,2,France,1,0
34,1,37266.67,2,Germany,0,0
30,1,127992.25,1,France,1,0
38,0,54901.01,1,Germany,1,0
42,0,108748.08,2,Germany,1,0
48,1,99906.19,1,Spain,0,0
32,1,184686.41,2,France,0,0
26,1,110654.02,1,France,1,0
31,0,79019.8,1,Spain,1,0
36,1,99240.51,1,Spain,0,0
34,0,0.0,2,France,1,0
36,0,0.0,2,France,0,0
39,1,0.0,1,Spain,0,1
35,1,52436.2,1,Germany,0,0
41,0,0.0,2,Spain,1,0
34,0,100337.96,3,Germany,0,1
34,1,149297.19,2,Germany,1,0
30,0,0.0,2,France,0,0
28,0,145605.44,1,Germany,1,0
37,1,0.0,2,Spain,1,0
62,0,0.0,1,France,1,1
53,1,0.0,2,France,0,0
35,0,84026.86,1,France,1,0
46,0,0.0,1,France,0,1
39,0,0.0,2,France,1,0
29,0,0.0,2,Spain,1,0
35,0,138718.92,1,Germany,1,1
42,0,118274.71,1,France,1,0
22,1,174185.98,2,France,1,0
40,0,113208.86,2,France,0,0
29,0,103907.28,1,Spain,0,0
32,1,119023.28,1,France,0,0
26,1,166297.89,1,Spain,1,0
34,0,0.0,2,Spain,0,0
42,0,63227.0,1,Germany,1,0
41,1,94521.17,2,Spain,0,0
27,0,0.0,2,France,0,0
34,1,112822.26,1,Spain,0,1
38,0,0.0,2,France,1,0
25,0,135903.33,1,France,0,0
31,1,125169.26,1,France,1,0
44,1,0.0,3,Spain,0,1
58,0,149117.31,1,France,1,0
33,0,0.0,2,France,1,0
31,1,0.0,2,France,0,0
36,1,132311.71,1,Spain,0,0
35,0,0.0,2,France,0,0
33,1,0.0,2,France,1,0
33,0,118082.89,1,France,0,0
31,0,119266.69,1,France,1,0
43,0,0.0,1,France,1,1
35,0,156847.29,2,Germany,0,0
50,0,137104.47,1,France,0,1
31,0,78398.69,1,Germany,0,0
80,1,0.0,2,France,1,0
30,0,63669.42,1,Germany,0,0
38,0,0.0,2,France,0,0
59,1,135296.33,1,Germany,0,0
36,0,153804.44,1,Spain,1,0
37,0,0.0,2,Spain,0,0
49,0,147069.78,1,France,0,1
42,0,0.0,2,Spain,1,0
22,1,0.0,1,Spain,0,0
24,0,95741.75,1,France,0,0
57,1,145965.33,1,Spain,1,0
30,1,141441.75,1,France,1,0
40,0,139290.41,1,France,0,1
31,1,0.0,2,France,0,0
30,0,0.0,2,France,0,0
35,0,144428.87,1,France,0,0
35,0,0.0,2,France,0,0
46,1,95441.27,1,France,0,1
35,0,144848.74,1,Germany,1,0
26,0,116244.14,2,Germany,1,0
50,0,0.0,2,France,1,0
40,1,146502.07,1,Spain,0,0
44,0,117028.6,2,Germany,1,0
30,1,112013.81,1,Germany,0,1
37,1,108269.37,1,Spain,0,0
29,0,182123.79,1,France,0,1
32,1,150923.74,2,Germany,1,0
33,0,0.0,2,France,0,0
39,1,165272.13,1,Spain,0,1
39,1,115301.31,1,Germany,0,1
40,1,129502.49,2,Germany,1,1
31,0,118342.26,1,France,0,0
47,1,0.0,2,Spain,1,0
22,0,0.0,2,France,0,0
25,1,0.0,2,France,0,0
43,1,0.0,2,France,0,0
34,1,106937.05,2,Germany,0,0
59,0,170331.37,1,Germany,1,0
32,1,114510.85,1,Germany,1,0
39,0,0.0,2,France,1,0
32,0,107594.11,2,Spain,1,0
39,0,81273.13,1,Spain,1,0
32,1,169399.6,1,Spain,0,0
25,0,0.0,2,Spain,1,0
45,1,187841.99,2,France,1,0
30,0,0.0,2,France,0,0
57,1,126776.3,2,Spain,1,0
34,0,126436.29,1,Spain,0,1
41,0,101960.74,1,France,1,0
58,0,0.0,2,France,1,0
28,0,0.0,2,Spain,1,0
45,1,150842.93,1,Germany,1,1
50,1,102535.57,1,France,1,0
29,1,99027.61,2,Germany,0,0
68,0,0.0,2,France,1,0
33,1,0.0,1,Spain,1,0
42,1,87271.41,2,Germany,0,0
35,1,102742.91,2,Germany,1,0
34,0,40105.51,2,Germany,1,0
29,1,152265.43,1,France,0,0
42,0,141947.67,1,Spain,1,0
75,1,106307.91,2,Germany,1,0
31,0,107884.81,2,Germany,1,0
31,0,125013.72,1,Germany,1,0
35,0,58469.37,2,Germany,1,0
39,1,0.0,1,France,1,0
45,0,117231.63,3,Germany,1,1
35,0,152390.26,1,Spain,0,0
30,1,34013.63,1,Spain,0,0
39,1,0.0,3,Spain,0,1
50,1,0.0,2,France,1,0
36,0,101583.11,2,France,0,0
30,1,77168.87,2,Germany,1,0
28,0,124695.72,2,Germany,0,0
44,0,105934.96,1,Germany,0,0
66,1,0.0,1,France,1,0
46,0,0.0,2,Spain,0,0
62,0,0.0,2,Spain,1,0
45,1,0.0,2,Spain,1,0
21,1,161525.96,2,France,0,0
29,1,147199.07,1,Germany,1,0
38,0,183102.29,1,Germany,1,0
46,0,127209.0,2,Spain,0,1
38,0,0.0,2,Spain,0,1
24,1,97378.54,1,Spain,1,0
37,1,136925.09,2,Germany,1,0
33,0,54503.55,1,France,1,0
32,0,155726.85,1,Germany,0,0
39,1,0.0,2,France,1,0
66,1,135842.41,1,France,0,1
52,0,63349.75,1,France,0,0
38,1,129499.42,1,Germany,1,0
52,0,0.0,2,Spain,1,0
36,0,70438.01,2,Spain,1,0
23,0,0.0,2,France,1,0
36,0,0.0,1,France,0,0
49,1,141434.04,1,Spain,0,1
37,1,0.0,2,Spain,0,0
37,0,152958.29,2,Germany,1,0
41,1,138306.34,1,Germany,0,0
23,0,0.0,2,Spain,0,0
38,0,0.0,2,France,1,0
31,1,124328.84,1,Spain,1,0
41,1,181461.48,3,Germany,1,1
35,0,0.0,2,Spain,0,0
26,0,0.0,2,Spain,0,0
61,1,110368.03,1,Germany,0,1
39,1,89588.35,1,France,1,0
46,1,0.0,2,France,0,0
28,1,0.0,2,France,0,0
60,1,115924.89,1,Germany,0,1
38,1,0.0,2,France,0,0
40,0,111756.5,1,Germany,0,1
35,1,0.0,1,France,0,0
39,0,0.0,1,France,0,0
26,0,162923.85,1,France,0,0
39,0,124576.65,2,Germany,0,0
45,0,80793.58,1,France,1,0
40,1,71340.09,1,Germany,0,0
40,0,99282.63,1,Germany,0,1
57,0,137946.39,1,Germany,1,1
41,0,127892.57,2,Germany,1,0
33,1,101084.36,1,Germany,0,0
37,1,114754.08,1,Germany,0,1
33,0,0.0,1,France,0,0
51,1,99286.98,1,France,1,0
30,1,79871.02,2,Germany,0,0
35,0,104088.59,2,France,0,0
38,1,168190.33,2,France,0,0
42,1,85679.25,1,Germany,1,0
35,1,0.0,1,France,0,0
31,1,0.0,2,France,0,0
34,1,121551.58,2,France,1,0
46,0,122220.19,1,France,1,0
47,0,116528.15,1,Spain,0,1
26,1,77780.29,1,France,1,0
37,0,0.0,1,France,0,0
40,0,125832.2,1,France,1,0
38,1,68065.8,1,France,0,1
47,1,127299.34,2,Spain,0,0
38,1,174937.64,1,Germany,0,0
40,0,0.0,2,France,1,0
31,0,110071.1,1,Spain,0,0
44,1,139432.37,1,Spain,0,0
39,1,127357.76,1,France,1,0
36,0,0.0,2,France,0,0
33,0,0.0,1,France,1,0
38,0,0.0,2,France,0,0
43,0,95556.31,1,Germany,1,1
37,0,0.0,1,Spain,1,0
29,0,111681.98,2,Germany,1,0
39,0,0.0,2,France,0,0
25,1,108738.71,2,Spain,0,0
32,1,133950.37,1,France,1,1
26,0,0.0,2,Spain,1,0
33,0,89968.69,1,France,0,0
32,1,0.0,2,Spain,1,0
38,1,130878.75,3,Germany,0,1
35,0,0.0,2,France,0,0
35,0,0.0,2,France,1,0
27,0,134169.62,1,Spain,1,0
37,0,149762.08,1,France,0,1
26,0,93844.69,1,France,0,0
28,0,0.0,2,France,0,0
33,1,0.0,2,France,0,0
46,0,141078.37,1,Germany,0,1
31,1,117992.59,1,Germany,1,0
40,1,100812.33,2,France,0,0
38,0,0.0,1,France,1,0
29,0,80262.6,1,France,1,0
34,0,156478.62,1,Spain,1,0
23,1,0.0,2,France,0,0
37,0,0.0,3,France,0,0
37,0,115217.99,2,Germany,0,0
61,0,0.0,2,Spain,0,1
35,1,155470.55,1,France,1,0
37,0,0.0,2,France,0,0
39,0,135096.77,1,France,1,1
30,0,0.0,2,France,1,0
55,1,180075.22,1,Germany,1,0
29,0,97541.24,1,Spain,1,0
41,1,156067.05,1,France,1,0
38,1,81550.94,2,France,1,0
47,1,0.0,1,France,0,1
38,1,170061.92,2,France,0,1
36,0,92310.54,2,Germany,1,0
32,1,169089.38,2,France,0,0
40,0,80613.93,1,France,1,0
26,0,121581.56,2,Germany,1,0
58,1,0.0,1,France,1,1
32,0,0.0,2,Spain,1,0
54,0,0.0,2,France,1,0
60,0,85891.55,1,France,0,1
44,0,77637.35,2,Spain,1,0
41,1,0.0,1,Spain,0,0
31,0,0.0,2,France,0,0
30,0,116927.89,1,Germany,0,0
40,1,137326.65,1,Germany,0,0
22,0,0.0,2,France,1,0
37,1,0.0,2,Spain,1,0
31,1,67238.98,2,Germany,1,0
38,1,86569.76,2,Germany,0,0
34,0,0.0,2,Spain,0,0
34,0,133598.4,1,France,1,0
51,1,136188.78,1,France,1,1
38,0,0.0,2,Spain,0,0
56,1,0.0,3,France,1,1
37,0,120092.52,2,Germany,0,0
48,0,101238.24,2,France,1,1
58,0,89685.92,1,France,1,0
35,1,211774.31,1,France,0,1
56,0,131317.48,1,France,1,0
37,0,93722.73,2,Spain,1,0
32,0,101160.99,1,Germany,1,0
48,0,120320.54,1,France,0,0
31,1,0.0,2,France,1,0
43,0,0.0,2,France,1,0
26,0,0.0,2,France,0,0
48,1,152827.99,1,Germany,0,1
30,0,64097.75,1,France,1,0
57,1,119035.35,2,Spain,1,0
26,1,135219.57,1,Spain,1,0
32,0,93694.42,1,France,1,0
35,0,59408.63,1,Spain,0,0
40,1,114354.95,1,France,0,0
59,0,0.0,1,France,0,1
35,0,128173.9,2,Germany,0,0
34,0,0.0,2,Spain,0,0
62,1,114931.35,3,Germany,1,1
28,1,111071.36,1,Germany,0,1
37,0,151226.18,2,France,1,0
26,0,0.0,2,France,1,0
42,1,64740.12,1,France,1,0
51,0,169312.13,1,Spain,0,1
49,1,0.0,3,France,1,1
44,1,112652.08,2,Spain,0,0
38,0,0.0,2,France,0,0
30,1,143964.36,2,Germany,0,0
49,0,122451.46,2,France,1,0
24,0,0.0,3,France,1,0
36,1,65253.07,2,Germany,0,0
47,0,106901.94,1,Germany,1,1
25,1,128509.63,1,Spain,0,0
34,0,0.0,2,France,0,0
33,0,129834.67,1,Germany,0,0
51,1,154962.99,3,Spain,1,1
40,0,138241.9,2,Germany,0,0
41,0,91536.93,1,Germany,0,1
53,0,0.0,2,Spain,1,0
70,1,0.0,1,Spain,1,0
29,1,105204.01,1,Germany,1,0
61,0,152968.73,1,Spain,1,0
36,0,158261.68,1,Spain,1,0
46,1,0.0,1,France,0,1
38,1,121021.05,1,Spain,1,0
36,0,0.0,2,France,1,0
54,1,0.0,1,Spain,0,1
63,1,137715.66,1,Spain,1,0
31,0,121192.22,2,Germany,1,0
31,0,0.0,3,France,1,0
44,0,100486.18,2,France,1,0
45,0,0.0,1,France,0,1
35,0,92566.53,2,France,0,0
49,1,0.0,2,Spain,1,1
40,0,110929.96,1,Spain,1,0
27,1,0.0,2,France,1,0
32,1,138901.61,1,Spain,0,0
30,0,123217.66,2,France,1,0
41,1,0.0,1,France,0,0
39,0,0.0,2,France,1,0
36,0,0.0,2,Spain,0,0
33,1,108431.87,2,Spain,1,1
57,1,0.0,2,Spain,1,0
30,1,72392.41,1,Germany,0,0
51,1,119741.77,2,Germany,0,1
51,1,100946.71,1,France,0,1
53,0,170491.84,1,Spain,0,1
44,0,0.0,1,France,1,0
36,0,0.0,1,France,0,0
47,1,157296.02,2,Spain,0,1
38,1,144606.22,1,Germany,1,1
38,0,134811.3,1,France,0,0
34,1,115897.12,1,France,1,0
32,0,82034.0,1,Spain,0,0
26,1,174318.13,2,Spain,1,0
41,1,114206.84,1,Germany,0,0
43,0,0.0,2,Spain,0,0
39,0,111574.41,1,Germany,1,0
57,1,162448.69,1,Germany,0,1
34,1,148249.54,1,Germany,1,0
43,1,0.0,3,France,1,1
26,1,123709.46,2,Spain,1,0
72,1,0.0,1,France,1,0
30,0,0.0,1,France,0,1
37,0,150525.8,1,France,1,0
29,0,0.0,1,France,1,0
53,0,0.0,2,France,1,0
28,0,0.0,2,France,0,0
35,0,0.0,2,France,1,0
51,1,111018.98,1,Germany,0,0
30,0,129755.99,1,France,0,0
27,1,0.0,2,France,0,0
64,1,129555.7,1,France,1,0
38,0,87202.38,1,Spain,1,0
26,0,146133.39,1,Germany,1,0
31,1,0.0,1,Spain,0,1
39,0,170184.99,2,Spain,0,0
62,1,140745.33,1,Germany,0,1
42,0,139070.51,1,Spain,1,0
37,1,0.0,2,Spain,1,0
35,0,114193.24,1,France,0,0
40,1,167878.5,1,Spain,1,0
53,1,141616.55,2,Germany,1,0
36,0,145747.67,2,Germany,1,0
48,1,129120.64,1,Spain,1,0
35,0,110349.82,1,Spain,0,0
29,0,141325.56,1,France,1,0
49,0,78653.84,1,France,0,0
47,0,0.0,2,France,1,0
28,1,142253.65,1,Spain,0,0
61,1,0.0,1,France,0,1
54,1,115988.86,1,Germany,0,1
33,1,75592.43,1,Spain,0,0
44,0,164113.04,2,Germany,1,0
31,0,67996.23,2,France,0,1
51,1,0.0,2,Spain,0,0
33,1,0.0,2,Spain,0,0
48,0,138778.15,1,France,1,0
43,1,147832.15,1,France,1,0
36,1,135438.4,1,France,0,0
48,0,116060.08,1,Spain,0,1
29,1,112564.62,1,France,0,0
27,1,125406.58,1,France,1,0
39,1,135134.99,1,Germany,0,1
39,1,133102.92,1,France,0,1
34,1,42157.08,1,France,0,1
30,1,0.0,2,France,1,0
38,0,82259.29,1,France,0,0
36,1,0.0,2,France,0,0
38,0,0.0,2,France,1,0
49,1,0.0,2,France,1,0
52,0,0.0,1,France,1,0
42,0,150461.07,1,France,0,0
48,0,133994.52,1,Germany,1,1
31,0,164870.81,2,Spain,1,0
25,0,121702.73,1,Germany,1,0
25,0,193858.2,1,Spain,1,0
54,1,131039.97,2,Germany,1,0
64,0,113829.45,1,France,1,0
30,1,0.0,2,France,0,0
41,1,81877.38,1,Germany,1,0
57,0,116326.07,1,Spain,1,0
31,0,0.0,2,France,1,0
46,0,0.0,2,France,1,0
41,1,0.0,2,France,1,0
33,0,0.0,2,France,1,0
31,1,127070.73,1,France,1,0
29,0,0.0,2,France,1,0
46,0,122549.64,1,Spain,1,0
42,1,176099.13,1,France,1,0
48,1,122388.38,2,Germany,0,0
42,0,0.0,2,France,1,0
26,0,0.0,1,France,0,0
32,1,118879.35,2,Spain,1,0
35,0,0.0,2,Spain,1,0
39,1,0.0,2,France,1,0
38,1,88736.44,2,Spain,0,0
45,0,102703.62,1,Germany,1,1
70,1,0.0,2,Spain,1,0
38,1,0.0,2,Spain,0,0
55,0,97318.25,1,France,1,0
58,0,128468.69,1,Spain,1,0
41,1,133432.59,1,Germany,1,0
40,1,141782.57,2,Germany,0,0
24,0,135125.28,1,France,0,0
42,0,178820.91,1,Spain,0,1
31,1,112212.14,2,France,1,0
45,1,126674.81,1,Germany,0,1
51,1,136294.97,1,France,0,1
36,1,66392.64,1,France,0,0
27,0,122552.34,2,Germany,0,0
43,0,76408.85,2,France,0,0
36,0,145071.24,1,Germany,0,0
34,0,0.0,2,France,1,0
45,1,109730.22,1,France,1,0
57,0,0.0,2,France,1,0
62,0,64119.38,1,Spain,1,1
57,1,106138.33,2,Germany,1,1
36,0,0.0,2,Spain,1,0
33,0,181656.51,1,Germany,1,0
32,1,0.0,2,France,0,0
30,0,95128.86,1,France,0,0
49,1,126615.94,2,Spain,1,0
36,0,0.0,2,Spain,1,0
36,0,76190.48,2,Germany,1,0
40,0,168286.81,3,Germany,0,1
35,0,88109.81,1,Germany,1,0
42,0,0.0,2,France,0,0
35,1,0.0,2,France,1,0
34,1,123971.51,2,France,0,0
48,0,148116.48,1,France,0,0
35,0,116269.01,1,Germany,0,0
38,0,120599.21,1,Spain,0,0
41,1,144260.5,1,France,0,0
25,1,86605.5,3,Spain,0,1
34,0,0.0,2,France,0,0
37,1,58629.97,1,Germany,0,0
42,1,0.0,2,Spain,0,0
45,0,0.0,2,France,0,0
43,1,0.0,1,France,1,0
56,1,209767.31,2,Spain,1,1
42,1,129634.25,2,Spain,1,1
23,0,0.0,2,France,0,0
38,1,169824.46,1,France,0,0
36,0,97530.25,1,France,1,0
42,1,145988.65,2,France,1,0
37,0,0.0,2,France,1,0
25,1,0.0,3,France,1,0
40,1,137494.28,1,France,0,0
57,1,0.0,1,France,0,1
24,0,147360.0,1,France,1,0
25,1,0.0,2,France,0,0
31,0,125167.02,1,Spain,0,0
43,0,121152.05,2,Germany,0,1
60,1,128981.07,1,Germany,1,1
47,0,0.0,1,France,1,0
67,0,151858.98,1,Spain,1,0
36,0,114628.4,1,France,1,0
46,0,0.0,2,France,0,0
28,1,95059.02,2,France,0,0
24,1,128736.39,1,France,1,0
24,0,156325.38,1,France,1,0
29,0,105405.97,1,France,1,0
49,1,88915.37,3,France,0,1
60,0,0.0,2,France,1,0
40,0,0.0,2,France,1,0
18,0,160980.03,1,France,0,0
46,1,177619.71,1,Spain,0,0
38,0,62276.99,1,Spain,1,0
46,0,127559.97,2,Germany,1,0
41,0,0.0,2,France,1,0
47,1,95523.16,1,Germany,0,0
35,1,107749.03,1,France,1,0
37,0,110777.26,2,Germany,0,0
39,1,166733.92,2,Spain,0,0
31,0,157120.86,2,France,0,0
36,1,127160.78,2,Germany,0,0
28,1,0.0,2,Spain,1,0
37,1,156091.97,1,France,0,0
58,0,98668.18,1,France,1,0
43,1,134022.06,1,France,0,0
35,1,124151.09,1,France,0,1
36,1,77253.5,1,Germany,0,1
21,1,114292.48,1,Germany,0,0
43,0,140080.32,3,Germany,1,1
27,1,135277.96,1,Spain,0,0
82,1,0.0,2,France,1,0
60,0,115920.62,2,Germany,0,1
41,0,119782.72,2,Spain,0,0
63,1,114715.71,1,France,1,1
36,1,129748.54,2,Germany,0,1
31,0,129722.57,1,France,0,0
32,0,0.0,2,France,1,0
36,0,139180.2,1,France,0,0
49,0,113599.74,2,Germany,0,1
33,0,134944.0,1,France,1,0
58,1,116922.25,1,Germany,0,1
28,0,118945.09,1,Spain,0,1
28,0,0.0,2,France,1,0
35,1,119182.73,1,Spain,0,0
27,0,0.0,2,France,0,0
28,1,71264.02,2,France,1,0
41,0,0.0,2,France,1,0
35,1,0.0,2,France,0,0
58,0,116313.57,1,Germany,1,1
36,0,92140.15,1,Spain,1,0
26,0,0.0,2,France,1,0
